Year;Refugees Venezuela;Refugees Venezuela Variation ;refugees normalized;Refugees Venezuela Variation %;Crude Oil Year Average;Crude Oil Year Average Variation %;Crude Oil Year Average Variation % Lag +;Crude Oil Year Average Variation % Lag 2+;Crude Oil Year Average Variation % Lag 3+;Crude Oil Year Average Variation % Lag -;GDP;GDP Variation;Mineral fuels, mineral oils and products of their distillation;Other;Total;% Mineral Fuels;Crude Petroleum;Refined Petroleum;Refined perc;Corruption Perception Index;Democracy Index
2000;;;;;;;;;;;;;26595455705;5194893464;31790349169;0.84;18274207256;7319849974;0.29;23;
2001;798;;;;24.351825;-0.137;;;;0.0237;300198;;21347512035;5112868373;26460380408;0.81;14992503154;5325347663;0.26;26;
2002;1304;506;0.000167926;0.63;24.92774838;0.024;-0.1374;;;0.1593;277865;-0.0744;20197705359;5522868356;25720573715;0.79;17480622889;1662870388;0.09;27;
2003;2614;1310;0.000434748;1;28.89890319;0.159;0.0237;-0.1374;;0.3057;261376;-0.0593;21560929369;5301000011;26861929380;0.8;19405191010;1116019403;0.05;28;
2004;3933;1319;0.000437735;0.5;37.7333877;0.306;0.1593;0.0237;-0.1374;0.415;317486;0.2147;29460988419;7821193004;37282181423;0.79;19664607922;8587202088;0.3;25;
2005;5397;1464;0.000485856;0.37;53.3910246;0.415;0.3057;0.1593;0.0237;0.2041;361227;0.1378;39272843968;8283604214;47556448182;0.83;30109461374;7695570851;0.2;24;
2006;6188;791;0.000262508;0.15;64.28825914;0.204;0.415;0.3057;0.1593;0.1062;409128;0.1326;51464885493;6956899534;58421785027;0.88;46024538727;3932086077;0.08;23;
2007;12409;6221;0.002064555;1.01;71.11655901;0.106;0.2041;0.415;0.3057;0.3638;456996;0.117;53498884963;8007310336;61506195299;0.87;40880695638;10451845430;0.2;23;
2008;14638;2229;0.000739735;0.18;96.99045376;0.364;0.1062;0.2041;0.415;-0.3633;490383;0.0731;80711259909;7477995288;88189255197;0.92;63511394776;14661889752;0.19;23;5.42
2009;15574;936;0.000310629;0.06;61.75692222;-0.363;0.3638;0.1062;0.2041;0.2799;477607;-0.0261;47318223649;3765296521;51083520170;0.93;36346887866;10247798466;0.22;20;5.42
2010;8732;-6842;-0.002270646;-0.44;79.04077178;0.28;-0.3633;0.3638;0.1062;0.3159;476215;-0.0029;61444511787;5443499931;66888011718;0.92;49935438677;10722553652;0.18;19;5.34
2011;8145;-587;-0.000194807;-0.07;104.0093975;0.316;0.2799;-0.3633;0.3638;0.0096;506340;0.0633;85004704529;4309018778;89313723307;0.95;68809171868;15345316638;0.18;19;5.34
2012;8700;555;0.000184187;0.07;105.0096289;0.01;0.3159;0.2799;-0.3633;-0.0089;544784;0.0759;98690571894;4401009213;1.03E+11;0.96;84700050802;13184188072;0.13;20;5.18
2013;9550;850;0.000282088;0.1;104.0774975;-0.009;0.0096;0.3159;0.2799;-0.0754;561498;0.0307;99468557781;3519580312;1.03E+11;0.97;86272329097;12523156999;0.13;18.9;5.08
2014;12831;3281;0.001088861;0.34;96.235;-0.075;-0.0089;0.0096;0.3159;-0.4726;549030;-0.0222;64314808271;3797904156;68112712427;0.94;52378281005;11258409900;0.18;19;5.15
2015;22542;9711;0.003222777;0.76;50.75277778;-0.473;-0.0754;-0.0089;0.0096;-0.1565;519651;-0.0535;33293348585;3301652642;36595001227;0.91;27044358843;5667932159;0.17;20;5.07
2016;52617;30075;0.009980951;1.33;42.81194444;-0.156;-0.4726;-0.0754;-0.0089;0.2334;435197;-0.1625;24956477643;4951674462;29908152105;0.83;20503659215;4085527812;0.17;19;5.07
2017;502953;450336;0.149452417;8.56;52.805;0.233;-0.1565;-0.4726;-0.0754;0.2943;373568;-0.1416;28674535675;3527186162;32201721837;0.89;24480563808;3757005363;0.13;17;5
2018;3078217;2575264;0.85464948;5.12;68.3475;0.294;0.2334;-0.1565;-0.4726;-0.1015;307018;-0.1781;31324458018;4818667479;36143125497;0.87;26697076486;4354981212;0.14;17;4.68
2019;4964435;1886218;0.62597669;0.61;61.4075;-0.102;0.2943;0.2334;-0.1565;-0.3281;225730;-0.2648;13877285502;2026120374;15903405876;0.87;13016701161;784931149;0.06;18;3.87
2020;5996996;1032561;0.342674662;0.21;41.25777778;-0.328;-0.1015;0.2943;0.2334;0.6741;160123;-0.2906;3158910935;1428442727;4587353662;0.69;2921931060;178991924;0.06;18;3.16
2021;6966720;969724;0.32182103;0.16;69.07055556;0.674;-0.3281;-0.1015;0.2943;0.4058;169108;0.0561;85366450;3153872041;3239238491;0.03;5174408;5032927;0.49;16;2.88
2022;9973118;3006398;0.997729354;0.43;97.10138889;0.406;0.6741;-0.3281;-0.1015;-0.1683;195658;0.157;1055951250;3245586116;4301537366;0.25;494617308;16328896;0.03;15;2.76
2023;10596489;623371;0.206877315;0.06;80.75569444;-0.168;0.4058;0.6741;-0.3281;;210817;0.0775;;;;;;;;14;2.11
;;-10596489;-3.516642883;;;;-0.1683;0.4058;0.6741;;222356;0.0547;;;;;;;;14;2.23
;;;;;;;;-0.1683;0.4058;;;-1;;;;;;;;13;2.23
;;;;;;;;;-0.1683;;;#DIV/0!;;;;;;;;;
