Year;Refugees Venezuela;Refugees Venezuela Variation ;refugees normalized;Refugees Venezuela Variation %;Crude Oil Year Average;Crude Oil Year Average Variation %;Crude Oil Year Average Variation % Lag +;Crude Oil Year Average Variation % Lag 2+;Crude Oil Year Average Variation % Lag 3+;Crude Oil Year Average Variation % Lag -;GDP;GDP Variation
2001;798;;;;24.351825;-0.137;;;;0.0237;300198;
2002;1304;506;0.000167926;0.63;24.92774838;0.024;-0.1374;;;0.1593;277865;-0.0744
2003;2614;1310;0.000434748;1;28.89890319;0.159;0.0237;-0.1374;;0.3057;261376;-0.0593
2004;3933;1319;0.000437735;0.5;37.7333877;0.306;0.1593;0.0237;-0.1374;0.415;317486;0.2147
2005;5397;1464;0.000485856;0.37;53.3910246;0.415;0.3057;0.1593;0.0237;0.2041;361227;0.1378
2006;6188;791;0.000262508;0.15;64.28825914;0.204;0.415;0.3057;0.1593;0.1062;409128;0.1326
2007;12409;6221;0.002064555;1.01;71.11655901;0.106;0.2041;0.415;0.3057;0.3638;456996;0.117
2008;14638;2229;0.000739735;0.18;96.99045376;0.364;0.1062;0.2041;0.415;-0.3633;490383;0.0731
2009;15574;936;0.000310629;0.06;61.75692222;-0.363;0.3638;0.1062;0.2041;0.2799;477607;-0.0261
2010;8732;-6842;-0.002270646;-0.44;79.04077178;0.28;-0.3633;0.3638;0.1062;0.3159;476215;-0.0029
2011;8145;-587;-0.000194807;-0.07;104.0093975;0.316;0.2799;-0.3633;0.3638;0.0096;506340;0.0633
2012;8700;555;0.000184187;0.07;105.0096289;0.01;0.3159;0.2799;-0.3633;-0.0089;544784;0.0759
2013;9550;850;0.000282088;0.1;104.0774975;-0.009;0.0096;0.3159;0.2799;-0.0754;561498;0.0307
2014;12831;3281;0.001088861;0.34;96.235;-0.075;-0.0089;0.0096;0.3159;-0.4726;549030;-0.0222
2015;22542;9711;0.003222777;0.76;50.75277778;-0.473;-0.0754;-0.0089;0.0096;-0.1565;519651;-0.0535
2016;52617;30075;0.009980951;1.33;42.81194444;-0.156;-0.4726;-0.0754;-0.0089;0.2334;435197;-0.1625
2017;502953;450336;0.149452417;8.56;52.805;0.233;-0.1565;-0.4726;-0.0754;0.2943;373568;-0.1416
2018;3078217;2575264;0.85464948;5.12;68.3475;0.294;0.2334;-0.1565;-0.4726;-0.1015;307018;-0.1781
2019;4964435;1886218;0.62597669;0.61;61.4075;-0.102;0.2943;0.2334;-0.1565;-0.3281;225730;-0.2648
2020;5996996;1032561;0.342674662;0.21;41.25777778;-0.328;-0.1015;0.2943;0.2334;0.6741;160123;-0.2906
2021;6966720;969724;0.32182103;0.16;69.07055556;0.674;-0.3281;-0.1015;0.2943;0.4058;169108;0.0561
2022;9973118;3006398;0.997729354;0.43;97.10138889;0.406;0.6741;-0.3281;-0.1015;-0.1683;195658;0.157
2023;10596489;623371;0.206877315;0.06;80.75569444;-0.168;0.4058;0.6741;-0.3281;;210817;0.0775
;;-10596489;-3.516642883;;;;-0.1683;0.4058;0.6741;;222356;0.0547
;;;;;;;;-0.1683;0.4058;;;-1
;;;;;;;;;-0.1683;;;#DIV/0!
